"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"dbd_avg_o2_subtotal_alc","Metric","N/A","","mean","25.681117","1,662","25.403951","1,779","-0.238346","[-1.702265, +1.225572]","-0.009281","[-6.6285%, +4.7723%]","0.749643","-","0.028805","-0.000311","-0.006953"
"dbd_avg_o2_subtotal_flowers","Metric","N/A","","mean","43.660000","5","28.890000","2","-14.770000","[-63.736613, +34.196613]","-0.338296","[-145.984%, +78.3248%]","0.554392","-","0.009396","-0.004100","-0.138779"
"dbd_avg_o2_subtotal_grocery","Metric","N/A","","mean","17.846099","4,553","17.624400","4,638","-0.208793","[-1.012629, +0.595042]","-0.011700","[-5.6742%, +3.3343%]","0.610687","-","0.027919","-0.000289","-0.005844"
"dbd_avg_o2_subtotal_nv","Metric","N/A","","mean","14.552114","13,040","14.466742","13,630","-0.046996","[-0.492081, +0.398088]","-0.003230","[-3.3815%, +2.7356%]","0.836048","-","0.021952","-0.000066","-0.001026"
"dbd_avg_o2_subtotal_pets","Metric","N/A","","mean","30.571556","118","26.427111","140","-4.051980","[-9.849033, +1.745072]","-0.132541","[-32.2163%, +5.7082%]","0.170699","-","0.025445","-0.003134","-0.098555"
"dbd_avg_o2_subtotal_rx","Metric","N/A","","mean","11.171001","12,349","11.323064","13,803","0.208223","[-0.172691, +0.589137]","0.018640","[-1.5459%, +5.2738%]","0.283992","-","0.014004","0.000206","0.002914"
"dbd_avg_o2_vp_1pc","Metric","N/A","","mean","-15.155059","1,127","-15.926987","1,293","-0.798973","[-1.952612, +0.354667]","-0.052720","[+12.8842%, -2.3403%]","0.174652","-","0.044366","0.002904","-0.035174"
"dbd_avg_o2_vp_3pc","Metric","N/A","","mean","-1.150591","6,171","-1.098497","6,380","0.054999","[-0.26146, +0.371459]","0.047801","[+22.724%, -32.2842%]","0.733380","-","0.017403","0.002469","0.000944"
"dbd_avg_o2_vp_alc","Metric","N/A","","mean","0.253331","1,662","0.108968","1,779","-0.142632","[-0.62595, +0.340686]","-0.563026","[-247.0878%, +134.4827%]","0.562991","-","0.028805","-0.003677","-0.004161"
"dbd_avg_o2_vp_flowers","Metric","N/A","","mean","2.656521","5","2.566124","2","-0.090396","[-16.425088, +16.244295]","-0.034028","[-618.2932%, +611.4876%]","0.991346","-","0.009396","-0.000546","-0.000849"
"dbd_avg_o2_vp_grocery","Metric","N/A","","mean","-4.848889","4,553","-4.754045","4,638","0.099490","[-0.151694, +0.350674]","0.020518","[+3.1284%, -7.232%]","0.437566","-","0.027919","-0.001762","0.002785"
"dbd_avg_o2_vp_nv","Metric","N/A","","mean","-3.350294","13,040","-3.443697","13,630","-0.109679","[-0.351593, +0.132235]","-0.032737","[+10.4944%, -3.947%]","0.374213","-","0.021952","0.003658","-0.002393"
"dbd_avg_o2_vp_pets","Metric","N/A","","mean","-1.041803","118","-1.876791","140","-0.831157","[-2.897993, +1.235678]","-0.797807","[+278.171%, -118.6096%]","0.430592","-","0.025445","-0.017006","-0.020216"
"dbd_avg_o2_vp_rx","Metric","N/A","","mean","-1.163011","12,349","-1.151668","13,803","0.007993","[-0.126191, +0.142177]","0.006873","[+10.8504%, -12.2249%]","0.907057","-","0.014004","-0.001131","0.000112"
